C,eps,rounds,RMSEP,avg_clipped_fraction
0.5,0.1,1,1.4231504325175566,0.0
0.5,0.1,5,1.4231504325175566,0.0
0.5,0.1,10,1.4231504325175566,0.0
0.5,1.0,1,1.4231504325175566,0.0
0.5,1.0,5,1.4231504325175566,0.0
0.5,1.0,10,1.4231504325175566,0.0
0.5,10.0,1,1.4231504325175566,0.0
0.5,10.0,5,1.4231504325175566,0.0
0.5,10.0,10,1.4231504325175566,0.0
1.0,0.1,1,1.4231504325175566,0.0
1.0,0.1,5,1.4231504325175566,0.0
1.0,0.1,10,1.4231504325175566,0.0
1.0,1.0,1,1.4231504325175566,0.0
1.0,1.0,5,1.4231504325175566,0.0
1.0,1.0,10,1.4231504325175566,0.0
1.0,10.0,1,1.4231504325175566,0.0
1.0,10.0,5,1.4231504325175566,0.0
1.0,10.0,10,1.4231504325175566,0.0
2.0,0.1,1,1.4231504325175566,0.0
2.0,0.1,5,1.4231504325175566,0.0
2.0,0.1,10,1.4231504325175566,0.0
2.0,1.0,1,1.4231504325175566,0.0
2.0,1.0,5,1.4231504325175566,0.0
2.0,1.0,10,1.4231504325175566,0.0
2.0,10.0,1,1.4231504325175566,0.0
2.0,10.0,5,1.4231504325175566,0.0
2.0,10.0,10,1.4231504325175566,0.0
